,date,code,name,weight
408,2019-02-27,002416,爱施德,0.06
409,2019-02-27,002424,贵州百灵,0.12
410,2019-02-27,002426,胜利精密,0.19
411,2019-02-27,002431,棕榈股份,0.15
412,2019-02-27,002434,万里扬,0.1
413,2019-02-27,002437,誉衡药业,0.08
414,2019-02-27,002439,启明星辰,0.37
415,2019-02-27,002440,闰土股份,0.21
416,2019-02-27,002444,巨星科技,0.16
417,2019-02-27,002463,沪电股份,0.36
418,2019-02-27,002465,海格通信,0.43
419,2019-02-27,002470,金正大,0.36
420,2019-02-27,002477,雏鹰农牧,0.11
421,2019-02-27,002482,广田集团,0.1
422,2019-02-27,002489,浙江永强,0.1
423,2019-02-27,002491,通鼎互联,0.21
424,2019-02-27,002500,山西证券,0.4
425,2019-02-27,002503,搜于特,0.1
426,2019-02-27,002505,大康农业,0.16
427,2019-02-27,002506,协鑫集成,0.29
428,2019-02-27,002507,涪陵榨菜,0.34
429,2019-02-27,002509,天广中茂,0.12
430,2019-02-27,002512,达华智能,0.1
431,2019-02-27,002517,恺英网络,0.13
432,2019-02-27,002544,杰赛科技,0.12
433,2019-02-27,002563,森马服饰,0.15
434,2019-02-27,002573,清新环境,0.15
435,2019-02-27,002583,海能达,0.28
436,2019-02-27,002588,史丹利,0.08
437,2019-02-27,002589,瑞康医药,0.22
438,2019-02-27,002603,以岭药业,0.2
439,2019-02-27,002635,安洁科技,0.12
440,2019-02-27,002640,跨境通,0.21
441,2019-02-27,002642,荣之联,0.09
442,2019-02-27,002663,普邦股份,0.13
443,2019-02-27,002665,首航节能,0.11
444,2019-02-27,002670,国盛金控,0.25
445,2019-02-27,002672,东江环保,0.16
446,2019-02-27,002681,奋达科技,0.08
447,2019-02-27,002690,美亚光电,0.17
448,2019-02-27,002699,美盛文化,0.06
449,2019-02-27,002701,奥瑞金,0.17
450,2019-02-27,002707,众信旅游,0.1
451,2019-02-27,002709,天赐材料,0.16
452,2019-02-27,002745,木林森,0.17
453,2019-02-27,002807,江阴银行,0.16
454,2019-02-27,002815,崇达技术,0.11
455,2019-02-27,002818,富森美,0.09
456,2019-02-27,002831,裕同科技,0.22
457,2019-02-27,002839,张家港行,0.19
458,2019-02-27,002916,深南电路,0.27
459,2019-02-27,002920,德赛西威,0.08
460,2019-02-27,300001,特锐德,0.3
461,2019-02-27,300002,神州泰岳,0.2
462,2019-02-27,300010,立思辰,0.18
463,2019-02-27,300026,红日药业,0.17
464,2019-02-27,300027,华谊兄弟,0.29
465,2019-02-27,300055,万邦达,0.16
466,2019-02-27,300058,蓝色光标,0.17
467,2019-02-27,300088,长信科技,0.29
468,2019-02-27,300113,顺网科技,0.19
469,2019-02-27,300115,长盈精密,0.17
470,2019-02-27,300133,华策影视,0.17
471,2019-02-27,300134,大富科技,0.15
472,2019-02-27,300146,汤臣倍健,0.5
473,2019-02-27,300156,神雾环保,0.07
474,2019-02-27,300159,新研股份,0.15
475,2019-02-27,300166,东方国信,0.29
476,2019-02-27,300168,万达信息,0.33
477,2019-02-27,300182,捷成股份,0.21
478,2019-02-27,300197,铁汉生态,0.16
479,2019-02-27,300199,翰宇药业,0.12
480,2019-02-27,300202,聚龙股份,0.06
481,2019-02-27,300244,迪安诊断,0.15
482,2019-02-27,300253,卫宁健康,0.39
483,2019-02-27,300257,开山股份,0.12
484,2019-02-27,300266,兴源环境,0.1
485,2019-02-27,300274,阳光电源,0.32
486,2019-02-27,300287,飞利信,0.14
487,2019-02-27,300291,华录百纳,0.06
488,2019-02-27,300297,蓝盾股份,0.11
489,2019-02-27,300308,中际旭创,0.14
490,2019-02-27,300315,掌趣科技,0.29
491,2019-02-27,300316,晶盛机电,0.24
492,2019-02-27,300324,旋极信息,0.22
493,2019-02-27,300347,泰格医药,0.52
494,2019-02-27,300376,易事特,0.14
495,2019-02-27,300383,光环新网,0.44
496,2019-02-27,300413,芒果超媒,0.32
497,2019-02-27,300418,昆仑万维,0.24
498,2019-02-27,300450,先导智能,0.4
499,2019-02-27,300459,金科文化,0.18
